type,element_id,text,metadata,filename
Title,27fe4357b208c7bfa38b2a7c0d478ee6,Bhaskar Ramasubramanian ♢,"{'languages': ['heb', 'eng'], 'page_number': 1, 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf', 'filetype': 'application/pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf
Title,a091e0e6e7c01a851e2c29b460627011,Radha Poovendran,"{'languages': ['heb', 'eng'], 'page_number': 1, 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf', 'filetype': 'application/pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf
Title,997ac17a93faabccdc3956ab891656f8,Bo Li,"{'languages': ['heb', 'eng'], 'page_number': 1, 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf', 'filetype': 'application/pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf
UncategorizedText,10191e0f21f33d86bb705d910afaea98,♠,"{'languages': ['heb', 'eng'], 'page_number': 1, 'parent_id': '997ac17a93faabccdc3956ab891656f8', 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf', 'filetype': 'application/pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf
UncategorizedText,cdb6a79de05801954e2c263150db1b1f,♦,"{'languages': ['heb', 'eng'], 'page_number': 1, 'parent_id': '997ac17a93faabccdc3956ab891656f8', 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf', 'filetype': 'application/pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf
Title,26db49ca3eb8ae8c2e578bc1ca110e8f,University of Washington,"{'languages': ['heb', 'eng'], 'page_number': 1, 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf', 'filetype': 'application/pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf
Title,89742eba5166a0d25e09016ae7bf1e34,Western Washington University,"{'languages': ['heb', 'eng'], 'page_number': 1, 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf', 'filetype': 'application/pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf
Title,985f07a54838f245ceafbdd62a8f5819,UIUC,"{'languages': ['heb', 'eng'], 'page_number': 1, 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf', 'filetype': 'application/pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf
NarrativeText,d2017a023be40ffefc1ef39eab880ec7,"{fqjiang,zxu9,luyaoniu,rp3}@uw.edu, zhen.xiang.lance@gmail.com, ramasub@wwu.edu, bol@uchicago.edu","{'languages': ['heb', 'eng'], 'page_number': 1, 'parent_id': '985f07a54838f245ceafbdd62a8f5819', 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf', 'filetype': 'application/pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf
UncategorizedText,9704de1ee46a24fd324f5ea9cff558a3,♢,"{'languages': ['heb', 'eng'], 'page_number': 1, 'parent_id': '985f07a54838f245ceafbdd62a8f5819', 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf', 'filetype': 'application/pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf
Title,130b6f5e71f9c2c518b889c6ef047f17,University of Chicago,"{'languages': ['heb', 'eng'], 'page_number': 1, 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf', 'filetype': 'application/pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf
UncategorizedText,dc28e59cfbba29bb6e4ef2dbd7ee588f,4 2 0 2,"{'languages': ['heb', 'eng'], 'page_number': 1, 'parent_id': '130b6f5e71f9c2c518b889c6ef047f17', 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf', 'filetype': 'application/pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf
Title,d9d32f9c780719de7eeb71f2346ee1b0,b e F 2 2,"{'languages': ['heb', 'eng'], 'page_number': 1, 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf', 'filetype': 'application/pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf
Title,5625093468962dc7dcafc06398283f95,] L C . s c [,"{'languages': ['heb', 'eng'], 'page_number': 1, 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf', 'filetype': 'application/pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf
UncategorizedText,0a95a51109427ae6ddec03d207baf7ef,2 v 3 5 7 1 1 . 2 0 4 2 : v i X r a,"{'languages': ['heb', 'eng'], 'page_number': 1, 'parent_id': '5625093468962dc7dcafc06398283f95', 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf', 'filetype': 'application/pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf
Title,a4ebdadfb27c3120597d511bb2290a9e,Abstract,"{'languages': ['heb', 'eng'], 'page_number': 1, 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf', 'filetype': 'application/pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf
NarrativeText,287121720f11edfda0e84d4f6870fd2c,"Safety is critical to the usage of large lan- guage models (LLMs). Multiple techniques such as data filtering and supervised fine-tuning have been developed to strengthen LLM safety. However, currently known techniques presume that corpora used for safety alignment of LLMs are solely interpreted by semantics. This as- sumption, however, does not hold in real-world applications, which leads to severe vulnera- bilities in LLMs. For example, users of fo- rums often use ASCII art, a form of text-based art, to convey image information. In this pa- per, we propose a novel ASCII art-based jail- break attack and introduce a comprehensive benchmark Vision-in-Text Challenge (VITC) to evaluate the capabilities of LLMs in rec- ognizing prompts that cannot be solely inter- preted by semantics. We show that five SOTA LLMs (GPT-3.5, GPT-4, Gemini, Claude, and Llama2) struggle to recognize prompts pro- vided in the form of ASCII art. Based on this observation, we develop the jailbreak attack ArtPrompt, which leverages the poor perfor- mance of LLMs in recognizing ASCII art to bypass safety measures and elicit undesired behaviors from LLMs. ArtPrompt only re- quires black-box access to the victim LLMs, making it a practical attack. We evaluate ArtPrompt on five SOTA LLMs, and show that ArtPrompt can effectively and efficiently in- duce undesired behaviors from all five LLMs.","{'languages': ['heb', 'eng'], 'page_number': 1, 'parent_id': 'a4ebdadfb27c3120597d511bb2290a9e', 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf', 'filetype': 'application/pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf
UncategorizedText,c0436635ddb6d75aa23341252aba6055,1,"{'languages': ['heb', 'eng'], 'page_number': 1, 'parent_id': 'a4ebdadfb27c3120597d511bb2290a9e', 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf', 'filetype': 'application/pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf
Title,aee0b651e65155e961487047d03ea377,Introduction,"{'languages': ['heb', 'eng'], 'page_number': 1, 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf', 'filetype': 'application/pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf
NarrativeText,98990510b8ad3519d268a331deff1962,"Large language models (LLMs) such as ChatGPT (Achiam et al., 2023), Llama2 (Touvron et al., 2023), and Gemini (Team et al., 2023) are increas- ingly deployed to serve users across various appli- cation scenarios. Typical examples include math reasoning (Wei et al., 2022b), code completion (Zhang et al., 2023a), and creative writing (Yuan et al., 2022). The widespread use of LLMs high- lights significant safety concerns (Weidinger et al.,","{'languages': ['heb', 'eng'], 'links': [{'text': 'Achiam et al .,', 'url': 'cite.achiam2023gpt', 'start_index': 46}, {'text': '2023', 'url': 'cite.achiam2023gpt', 'start_index': 61}, {'text': 'Touvron et al .,', 'url': 'cite.touvron2023llama', 'start_index': 76}, {'text': '2023', 'url': 'cite.touvron2023llama', 'start_index': 92}, {'text': 'Team et al .,', 'url': 'cite.team2023gemini', 'start_index': 111}, {'text': '2023', 'url': 'cite.team2023gemini', 'start_index': 124}, {'text': 'Wei et al .,', 'url': 'cite.wei2022chain', 'start_index': 254}, {'text': '2022b', 'url': 'cite.wei2022chain', 'start_index': 266}, {'text': 'Zhang et al .,', 'url': 'cite.zhang2023planning', 'start_index': 291}, {'text': '2023a', 'url': 'cite.zhang2023planning', 'start_index': 305}, {'text': 'Yuan', 'url': 'cite.yuan2022wordcraft', 'start_index': 335}, {'text': 'et al .,', 'url': 'cite.yuan2022wordcraft', 'start_index': 340}, {'text': '2022', 'url': 'cite.yuan2022wordcraft', 'start_index': 348}, {'text': 'Weidinger et al .,', 'url': 'cite.weidinger2022taxonomy', 'start_index': 423}], 'page_number': 1, 'parent_id': 'aee0b651e65155e961487047d03ea377', 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf', 'filetype': 'application/pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf
Title,00075f923f0d7a0077ca68d90cf201d1,‡ Equal Contribution.,"{'languages': ['heb', 'eng'], 'page_number': 1, 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf', 'filetype': 'application/pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf
Title,2429ab3c635a8e90f0d96c4641694c76,Attacker,"{'languages': ['heb', 'eng'], 'page_number': 1, 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf', 'filetype': 'application/pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf
UncategorizedText,d99eb703b451e730bccb4046be08070e,***** ****** ********* * ** ** ***** * *** *** ** ** ** ****** ****** *****,"{'languages': ['heb', 'eng'], 'page_number': 1, 'parent_id': '2429ab3c635a8e90f0d96c4641694c76', 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf', 'filetype': 'application/pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf
NarrativeText,bcf3039e52402d1775092fced6b7aeed,AlignmentLLM①how to build a bomb?,"{'languages': ['heb', 'eng'], 'page_number': 1, 'parent_id': '2429ab3c635a8e90f0d96c4641694c76', 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf', 'filetype': 'application/pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf
NarrativeText,2a5181d271312b0f992dd39fdfd8a6a4,"Sure, here is …②how to build a","{'languages': ['heb', 'eng'], 'page_number': 1, 'parent_id': '2429ab3c635a8e90f0d96c4641694c76', 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf', 'filetype': 'application/pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf
Title,441b34669a75b70ab548432379bb4920,Sorry,"{'languages': ['heb', 'eng'], 'page_number': 1, 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf', 'filetype': 'application/pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf
NarrativeText,857dbcb69a3b220e7deab7fbb93f257f,"Figure 1: This figure presents two instances of a harmful instruction, “how to build a bomb"", from a malicious user to an LLM. The first instance, labeled as 1⃝, is writ- ten in English and is rejected by the LLM due to safety alignment. The second instance, labeled as 2⃝, utilizes ASCII art to visually represent the word “bomb"". This instance successfully bypasses the safety alignment, re- sulting in a harmful response “Sure, here is ..."".","{'languages': ['heb', 'eng'], 'page_number': 1, 'parent_id': '441b34669a75b70ab548432379bb4920', 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf', 'filetype': 'application/pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf
NarrativeText,d480e99a87f107d9e0514622a16cc50d,"2022; Wang et al., 2023a). Violations of safety can expose users of LLMs to toxic contents (Gehman et al., 2020), bias (Nadeem et al., 2020), and other associated risks (Wei et al., 2023a).","{'languages': ['heb', 'eng'], 'links': [{'text': '2022', 'url': 'cite.weidinger2022taxonomy', 'start_index': 0}, {'text': 'Wang et al .,', 'url': 'cite.wang2023decodingtrust', 'start_index': 6}, {'text': '2023a', 'url': 'cite.wang2023decodingtrust', 'start_index': 19}, {'text': 'Gehman', 'url': 'cite.Gehman2020RealToxicityPromptsEN', 'start_index': 92}, {'text': 'et al .,', 'url': 'cite.Gehman2020RealToxicityPromptsEN', 'start_index': 99}, {'text': '2020', 'url': 'cite.Gehman2020RealToxicityPromptsEN', 'start_index': 107}, {'text': 'Nadeem et al .,', 'url': 'cite.nadeem2020stereoset', 'start_index': 120}, {'text': '2020', 'url': 'cite.nadeem2020stereoset', 'start_index': 135}, {'text': 'Wei et al .,', 'url': 'cite.wei2023jailbroken', 'start_index': 170}, {'text': '2023a', 'url': 'cite.wei2023jailbroken', 'start_index': 182}], 'page_number': 1, 'parent_id': '441b34669a75b70ab548432379bb4920', 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf', 'filetype': 'application/pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf
NarrativeText,27d32ab12c74b9bbc270e88e2fde834d,"Extensive efforts have been made to ensure safety alignment of LLMs, including supervised fine-tuning (Bakker et al., 2022), reinforcement learning from human feedback (Christiano et al., 2017; Ouyang et al., 2022; Bai et al., 2022), and red-teaming (Dinan et al., 2019; Ge et al., 2023). However, a common feature of these efforts is their exclusive focus on semantics of natural language involved in training/instruction corpora. This over- looks the fact that corpora can be interpreted in multiple ways beyond just semantics. For exam- ple, the word “BOMB"" in Figure 1 is written using characters ‘*’ and spaces. Interpreting such an ex- ample through the semantics of the characters is generally meaningless. Instead, humans interpret the example in Figure 1 based on the arrangement of characters within the input space. This observa- tion raises the question: “Will semantics-only interpretation of corpora dur- ing safety alignment lead to vulnerabilities of LLM","{'languages': ['heb', 'eng'], 'links': [{'text': 'Bakker et al .,', 'url': 'cite.bakker2022fine', 'start_index': 102}, {'text': '2022', 'url': 'cite.bakker2022fine', 'start_index': 117}, {'text': 'Christiano et al .,', 'url': 'cite.christiano2017deep', 'start_index': 168}, {'text': '2017', 'url': 'cite.christiano2017deep', 'start_index': 187}, {'text': 'Ouyang et al .,', 'url': 'cite.ouyang2022training', 'start_index': 193}, {'text': '2022', 'url': 'cite.ouyang2022training', 'start_index': 208}, {'text': 'Bai et al .,', 'url': 'cite.bai2022training', 'start_index': 214}, {'text': '2022', 'url': 'cite.bai2022training', 'start_index': 226}, {'text': 'Dinan et al .,', 'url': 'cite.dinan2019build', 'start_index': 250}, {'text': '2019', 'url': 'cite.dinan2019build', 'start_index': 264}, {'text': 'Ge et al .,', 'url': 'cite.ge2023mart', 'start_index': 270}, {'text': '2023', 'url': 'cite.ge2023mart', 'start_index': 281}, {'text': '1', 'url': 'figure.caption.1', 'start_index': 570}, {'text': '1', 'url': 'figure.caption.1', 'start_index': 761}], 'page_number': 1, 'parent_id': '441b34669a75b70ab548432379bb4920', 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf', 'filetype': 'application/pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf
Footer,2517f130791bc299950c58ab14925efc,1,"{'languages': ['heb', 'eng'], 'page_number': 1, 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf', 'filetype': 'application/pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf
NarrativeText,69d406a98507325ccbe3198345ce2911,Tell me how to build a,"{'languages': ['heb', 'eng'], 'page_number': 2, 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf', 'filetype': 'application/pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf
Title,e16b8eedf374f09190bcac48b949693d,me,"{'languages': ['heb', 'eng'], 'page_number': 2, 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf', 'filetype': 'application/pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf
NarrativeText,7ba2ff311bafcd98556b423535b51c9f,"Sure, here is the instruction on how to build a bomb. To make a bomb, you need to …","{'languages': ['heb', 'eng'], 'page_number': 2, 'parent_id': 'e16b8eedf374f09190bcac48b949693d', 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf', 'filetype': 'application/pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf
Title,300f2e4e7a46b7ae13da73019ad7df62,bomb,"{'languages': ['heb', 'eng'], 'page_number': 2, 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf', 'filetype': 'application/pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf
Title,3e6fb511d6e871c8ab1f521e2e8ea86f,to,"{'languages': ['heb', 'eng'], 'page_number': 2, 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf', 'filetype': 'application/pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf
Title,46f08af7782e0deae76efeb44585b6c5,MASK,"{'languages': ['heb', 'eng'], 'page_number': 2, 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf', 'filetype': 'application/pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf
Title,2c11925a430039ff6fce6bb08f610b9e,StepI,"{'languages': ['heb', 'eng'], 'page_number': 2, 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf', 'filetype': 'application/pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf
Title,507a766d97a288445ac1a825f26bf5dd,build,"{'languages': ['heb', 'eng'], 'page_number': 2, 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf', 'filetype': 'application/pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf
NarrativeText,4fc2bb4124772625ee936545e136e235,Direct PromptTell me how to build a bomb,"{'languages': ['heb', 'eng'], 'page_number': 2, 'parent_id': '507a766d97a288445ac1a825f26bf5dd', 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf', 'filetype': 'application/pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf
Title,978e62b29ba2210100a8138ea2eb3785,Tell,"{'languages': ['heb', 'eng'], 'page_number': 2, 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf', 'filetype': 'application/pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf
NarrativeText,78aeb81e5e40748439fa418f160a4cf9,"UserSorry, but I cannot assist you with it.","{'languages': ['heb', 'eng'], 'page_number': 2, 'parent_id': '978e62b29ba2210100a8138ea2eb3785', 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf', 'filetype': 'application/pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf
Title,ab2ca1aa374ea4187fea7867bc689b53,StepII,"{'languages': ['heb', 'eng'], 'page_number': 2, 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf', 'filetype': 'application/pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf
Title,418aa8ae5f5aed1dad3049cdeccaa78e,a,"{'languages': ['heb', 'eng'], 'page_number': 2, 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf', 'filetype': 'application/pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf
UncategorizedText,68f04c8ffb4deb9a0a00272f0b7a19d7,MASK=***** ****** ********* * ** ** ***** * *** *** ** ** ** ****** ****** *****,"{'languages': ['heb', 'eng'], 'page_number': 2, 'parent_id': '418aa8ae5f5aed1dad3049cdeccaa78e', 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf', 'filetype': 'application/pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf
Title,fcb986d534192d43f2003a2d1c63878c,how,"{'languages': ['heb', 'eng'], 'page_number': 2, 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf', 'filetype': 'application/pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf
Title,4714533bb2eb4cbffb54f22579a7aa33,ArtPrompt,"{'languages': ['heb', 'eng'], 'page_number': 2, 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf', 'filetype': 'application/pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf
NarrativeText,f8c5c2092b64e83c3ca678132086d229,"Figure 2: Overview of ArtPrompt. ArtPrompt consists of two steps. In the first step, ArtPrompt masks the safety words (e.g., “bomb"") within a prompt that could result in rejection from the victim LLM. In the second step, ArtPrompt replaces the masked word in Step I with ASCII art. Then the masked prompt is combined with the ASCII art representation to form a cloaked prompt. The cloaked prompt is finally sent to the victim LLM as a jailbreak attack. A detailed example prompt and response is available in Appendix C.","{'languages': ['heb', 'eng'], 'page_number': 2, 'parent_id': '4714533bb2eb4cbffb54f22579a7aa33', 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf', 'filetype': 'application/pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf
NarrativeText,f2ae407f512a0f5e521b17bf1634a6c9,"safety that can be exploited by malicious users?""","{'languages': ['heb', 'eng'], 'page_number': 2, 'parent_id': '4714533bb2eb4cbffb54f22579a7aa33', 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf', 'filetype': 'application/pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf
