type,element_id,text,metadata,filename,page_number,text_as_html,language,filetype,partition_type
Title,a68def20051bdb4625af0b0746d7d21a,A Experiment Details,"{'category_depth': 2, 'page_number': 3, 'parent_id': '8c27fbabd7354e2aba80e0691ca4bb40', 'text_as_html': '<h1 class=""Heading"" id=""bed0618870a04d15801e6664f8a70951"">A Experiment Details</h1>', 'languages': ['eng'], 'filetype': 'application/pdf', 'partitioner_type': 'vlm_partition', 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf,3.0,"<h1 class=""Heading"" id=""bed0618870a04d15801e6664f8a70951"">A Experiment Details</h1>",,application/pdf,
NarrativeText,7bded08602c87ffdff988ed272ce2406,"In this section, we first provide detailed setups for baseline jailbreak attacks, i.e., GCG, AutoDAN, PAIR and DeepInception. Following this, we provide the defense settings. We then demonstrate fonts selection for ArtPrompt.","{'category_depth': 2, 'page_number': 3, 'parent_id': '8c27fbabd7354e2aba80e0691ca4bb40', 'text_as_html': '<p class=""NarrativeText"" id=""f788b1b82a8a4b10a5201ee1ed5c1b60"">In this section, we first provide detailed setups for baseline jailbreak attacks, i.e., GCG, AutoDAN, PAIR and DeepInception. Following this, we provide the defense settings. We then demonstrate fonts selection for ArtPrompt.</p>', 'languages': ['eng'], 'filetype': 'application/pdf', 'partitioner_type': 'vlm_partition', 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf,3.0,"<p class=""NarrativeText"" id=""f788b1b82a8a4b10a5201ee1ed5c1b60"">In this section, we first provide detailed setups for baseline jailbreak attacks, i.e., GCG, AutoDAN, PAIR and DeepInception. Following this, we provide the defense settings. We then demonstrate fonts selection for ArtPrompt.</p>",,application/pdf,
UncategorizedText,0fbe627e110da3d9320b7366904971a3,,"{'category_depth': 2, 'page_number': 3, 'parent_id': '8c27fbabd7354e2aba80e0691ca4bb40', 'text_as_html': '<section class=""Section"" id=""90494d15fe504ed48fbb12ff79e7f4ce"" />', 'languages': ['eng'], 'filetype': 'application/pdf', 'partitioner_type': 'vlm_partition', 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf,3.0,"<section class=""Section"" id=""90494d15fe504ed48fbb12ff79e7f4ce"" />",,application/pdf,
Title,729a21359f144671b84b0959f54a8215,A.1 Attack Settings,"{'category_depth': 3, 'page_number': 3, 'parent_id': '90494d15fe504ed48fbb12ff79e7f4ce', 'text_as_html': '<h2 class=""Heading"" id=""60997446f6214839bcb8e1a1c1a621c1"">A.1 Attack Settings</h2>', 'languages': ['eng'], 'filetype': 'application/pdf', 'partitioner_type': 'vlm_partition', 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf,3.0,"<h2 class=""Heading"" id=""60997446f6214839bcb8e1a1c1a621c1"">A.1 Attack Settings</h2>",,application/pdf,
UncategorizedText,f6d7ee64ea2499a44b70121aec88afca,"GCG: We follow the official implementation of Zou et al. (2023) for Llama2 model. For black-box models (i.e., GPT-3.5, GPT-4, Claude and Gemini), we follow the transferable optimization settings, which generate the universal suffixes targeting on Vicuna-7B model (Chiang et al., 2023). We note that Zou et al. (2023) have demonstrated significant transferability of GCG to black-box models. AutoDAN: We follow the official implementation of Liu et al. (2023) for Llama2 model. For black-box models, we follow the transferable experiment settings, which use the optimized prompts from Llama2 as attack prompts. PAIR and DeepInception: We follow the official implementation with the default hyperparameters in Chao et al. (2023) and Li et al. (2023a).","{'category_depth': 3, 'page_number': 3, 'parent_id': '90494d15fe504ed48fbb12ff79e7f4ce', 'text_as_html': '<ul class=""UnorderedList"" id=""4f73c2c918b746eaad2fc949dfb33b42""><li class=""ListItem"" id=""ae0c0af5a56e4bd3a53cfee6c0428f58"">GCG: We follow the official implementation of Zou et al. (2023) for Llama2 model. For black-box models (i.e., GPT-3.5, GPT-4, Claude and Gemini), we follow the transferable optimization settings, which generate the universal suffixes targeting on Vicuna-7B model (Chiang et al., 2023). We note that Zou et al. (2023) have demonstrated significant transferability of GCG to black-box models.</li><li class=""ListItem"" id=""4ca44cf293a94b79abf5ac894521ead7"">AutoDAN: We follow the official implementation of Liu et al. (2023) for Llama2 model. For black-box models, we follow the transferable experiment settings, which use the optimized prompts from Llama2 as attack prompts.</li><li class=""ListItem"" id=""13c75acbbb1f45b6b11ec8b649174cdf"">PAIR and DeepInception: We follow the official implementation with the default hyperparameters in Chao et al. (2023) and Li et al. (2023a).</li></ul>', 'languages': ['eng'], 'filetype': 'application/pdf', 'partitioner_type': 'vlm_partition', 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf,3.0,"<ul class=""UnorderedList"" id=""4f73c2c918b746eaad2fc949dfb33b42""><li class=""ListItem"" id=""ae0c0af5a56e4bd3a53cfee6c0428f58"">GCG: We follow the official implementation of Zou et al. (2023) for Llama2 model. For black-box models (i.e., GPT-3.5, GPT-4, Claude and Gemini), we follow the transferable optimization settings, which generate the universal suffixes targeting on Vicuna-7B model (Chiang et al., 2023). We note that Zou et al. (2023) have demonstrated significant transferability of GCG to black-box models.</li><li class=""ListItem"" id=""4ca44cf293a94b79abf5ac894521ead7"">AutoDAN: We follow the official implementation of Liu et al. (2023) for Llama2 model. For black-box models, we follow the transferable experiment settings, which use the optimized prompts from Llama2 as attack prompts.</li><li class=""ListItem"" id=""13c75acbbb1f45b6b11ec8b649174cdf"">PAIR and DeepInception: We follow the official implementation with the default hyperparameters in Chao et al. (2023) and Li et al. (2023a).</li></ul>",,application/pdf,
UncategorizedText,56d806263943d2060d33455b34ac17c5,,"{'category_depth': 2, 'page_number': 3, 'parent_id': '8c27fbabd7354e2aba80e0691ca4bb40', 'text_as_html': '<section class=""Section"" id=""8d0f1383ba8845c6a9e668ce444e348f"" />', 'languages': ['eng'], 'filetype': 'application/pdf', 'partitioner_type': 'vlm_partition', 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf,3.0,"<section class=""Section"" id=""8d0f1383ba8845c6a9e668ce444e348f"" />",,application/pdf,
Title,c47cdb04ffed274f4461fefee8888ac9,A.2 Defense Settings,"{'category_depth': 3, 'page_number': 3, 'parent_id': '8d0f1383ba8845c6a9e668ce444e348f', 'text_as_html': '<h2 class=""Heading"" id=""8b503371f6844e549165bae62809796b"">A.2 Defense Settings</h2>', 'languages': ['eng'], 'filetype': 'application/pdf', 'partitioner_type': 'vlm_partition', 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf,3.0,"<h2 class=""Heading"" id=""8b503371f6844e549165bae62809796b"">A.2 Defense Settings</h2>",,application/pdf,
NarrativeText,97dabaddd7e3a504d8786b6ef936330e,PPL-Pass PPL is defined as:,"{'category_depth': 3, 'page_number': 3, 'parent_id': '8d0f1383ba8845c6a9e668ce444e348f', 'text_as_html': '<p class=""NarrativeText"" id=""2022d825643a40fd832cf78a738e9038"">PPL-Pass PPL is defined as:</p>', 'languages': ['eng'], 'filetype': 'application/pdf', 'partitioner_type': 'vlm_partition', 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf,3.0,"<p class=""NarrativeText"" id=""2022d825643a40fd832cf78a738e9038"">PPL-Pass PPL is defined as:</p>",,application/pdf,
Formula,0eb81c2ff7684fe6a36c92ed11d9dfb1,"PPL(X) = 1/X ∑ₓ∈X logp(x|x₀:ᵢ₋₁), (1)","{'category_depth': 3, 'page_number': 3, 'parent_id': '8d0f1383ba8845c6a9e668ce444e348f', 'text_as_html': '<math class=""Formula"" id=""1a6902f38acd427ba3aaf93685eef73f"">PPL(X) = 1/X ∑ₓ∈X logp(x|x₀:ᵢ₋₁), (1)</math>', 'languages': ['eng'], 'filetype': 'application/pdf', 'partitioner_type': 'vlm_partition', 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf,3.0,"<math class=""Formula"" id=""1a6902f38acd427ba3aaf93685eef73f"">PPL(X) = 1/X ∑ₓ∈X logp(x|x₀:ᵢ₋₁), (1)</math>",,application/pdf,
NarrativeText,7a4c6fab9adbeb7f2fc2d0b98333476b,"where X is the input token sequence. Following Alon and Kamfonas (2023), we use GPT-2 model to calculate PPL(X). PPL-Pass filters out queries if PPL(X) ≥ T, where T is a pre-defined threshold. Following Jain et al. (2023), we set T = 175.57 as the threshold, which is the max perplexity in our tested AdvBench dataset. Any harmful instruction identified and filtered out by PPL-Pass will receive a standardized refusal response, specifically, ""Sorry, but I cannot assist with that."" This ensures consistency in the evaluation process. Paraphrase Following Jain et al. (2023), we employ GPT-3.5 model to paraphrase the original instruction with the following prompt.","{'category_depth': 3, 'page_number': 3, 'parent_id': '8d0f1383ba8845c6a9e668ce444e348f', 'text_as_html': '<p class=""NarrativeText"" id=""a1e0be4329ec40e880d368d27506817c"">where X is the input token sequence. Following Alon and Kamfonas (2023), we use GPT-2 model to calculate PPL(X). PPL-Pass filters out queries if PPL(X) ≥ T, where T is a pre-defined threshold. Following Jain et al. (2023), we set T = 175.57 as the threshold, which is the max perplexity in our tested AdvBench dataset. Any harmful instruction identified and filtered out by PPL-Pass will receive a standardized refusal response, specifically, ""Sorry, but I cannot assist with that."" This ensures consistency in the evaluation process.</p><p class=""NarrativeText"" id=""0f79b2fb1a554e45a1008e63d1f67642"">Paraphrase Following Jain et al. (2023), we employ GPT-3.5 model to paraphrase the original instruction with the following prompt.</p>', 'languages': ['eng'], 'filetype': 'application/pdf', 'partitioner_type': 'vlm_partition', 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf,3.0,"<p class=""NarrativeText"" id=""a1e0be4329ec40e880d368d27506817c"">where X is the input token sequence. Following Alon and Kamfonas (2023), we use GPT-2 model to calculate PPL(X). PPL-Pass filters out queries if PPL(X) ≥ T, where T is a pre-defined threshold. Following Jain et al. (2023), we set T = 175.57 as the threshold, which is the max perplexity in our tested AdvBench dataset. Any harmful instruction identified and filtered out by PPL-Pass will receive a standardized refusal response, specifically, ""Sorry, but I cannot assist with that."" This ensures consistency in the evaluation process.</p><p class=""NarrativeText"" id=""0f79b2fb1a554e45a1008e63d1f67642"">Paraphrase Following Jain et al. (2023), we employ GPT-3.5 model to paraphrase the original instruction with the following prompt.</p>",,application/pdf,
UncategorizedText,eeb9f3867cae074fc7dca4998d1fb425,Prompt Please paraphrase the following sentences. Give me paraphrased results only. Do not include any other information.[Original instruction],"{'category_depth': 3, 'page_number': 3, 'parent_id': '8d0f1383ba8845c6a9e668ce444e348f', 'text_as_html': '<form class=""Form"" id=""0bb31176a21545bcbe614b84f65e40f4""><label class=""FormField"" id=""f79a37cb3a14407da6689c2fd105a6f3"">Prompt</label><input class=""FormFieldValue"" id=""d3d12faed926481684b819a563b800f5"">Please paraphrase the following sentences. Give me paraphrased results only. Do not include any other information.[Original instruction]</input></form>', 'languages': ['eng'], 'filetype': 'application/pdf', 'partitioner_type': 'vlm_partition', 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf,3.0,"<form class=""Form"" id=""0bb31176a21545bcbe614b84f65e40f4""><label class=""FormField"" id=""f79a37cb3a14407da6689c2fd105a6f3"">Prompt</label><input class=""FormFieldValue"" id=""d3d12faed926481684b819a563b800f5"">Please paraphrase the following sentences. Give me paraphrased results only. Do not include any other information.[Original instruction]</input></form>",,application/pdf,
NarrativeText,322c695680408c7bdabb04e5d7f59a01,"Retokenization We use BPE-dropout (Provilkov et al., 2019), where 20% merges from BPE tokenizer will be dropped.","{'category_depth': 3, 'page_number': 3, 'parent_id': '8d0f1383ba8845c6a9e668ce444e348f', 'text_as_html': '<p class=""NarrativeText"" id=""c9d7abea27014d25b78edc35d743595a"">Retokenization We use BPE-dropout (Provilkov et al., 2019), where 20% merges from BPE tokenizer will be dropped.</p>', 'languages': ['eng'], 'filetype': 'application/pdf', 'partitioner_type': 'vlm_partition', 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf,3.0,"<p class=""NarrativeText"" id=""c9d7abea27014d25b78edc35d743595a"">Retokenization We use BPE-dropout (Provilkov et al., 2019), where 20% merges from BPE tokenizer will be dropped.</p>",,application/pdf,
Title,787a3540ab163af45289f1da61e3e3dc,A.3 Fonts Selection for ArtPrompt,"{'category_depth': 3, 'page_number': 3, 'parent_id': '8d0f1383ba8845c6a9e668ce444e348f', 'text_as_html': '<h2 class=""Heading"" id=""0301e11eb9c54e8cafe742256ff8cb95"">A.3 Fonts Selection for ArtPrompt</h2>', 'languages': ['eng'], 'filetype': 'application/pdf', 'partitioner_type': 'vlm_partition', 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf,3.0,"<h2 class=""Heading"" id=""0301e11eb9c54e8cafe742256ff8cb95"">A.3 Fonts Selection for ArtPrompt</h2>",,application/pdf,
NarrativeText,3d91bddfa1a3dd3d5489c194fc150941,"We note that the text content and specific font used (i.e., the format encoding for individual characters) are important in the generation of ASCII Art Text. We consider the samples representing letters in VITC-S dataset, and apply the Acc metric for selection. The experimental results across different LLMs are demonstrated in Figure 5. We observe that while the ability of LLMs to identify ASCII Art text of letters varies significantly across fonts, there are certain subsets of fonts that exhibit similar performance patterns across all tested models. To reduce potential biases in our study, we selected fonts based on their consistent performance across LLMs. Specifically, we chose the head-set fonts from art library, which exhibited higher Acc across all models. This includes 'alphabet', 'cards', 'letters', 'keyboard', and 'puzzle'. Additionally, we selected tail-set fonts that have low Acc across all models: 'block','roman','xchartri','hollywood', and 'ghoulish'. To reduce dependency on the art library and enhance diversity, we also generated a font using the GPT-4 model, and named it 'Gen'. As shown in Figure 6, the 'Gen' font can generally be well recognized by all models. Therefore, we also include it in the head-set fonts.","{'category_depth': 3, 'page_number': 3, 'parent_id': '8d0f1383ba8845c6a9e668ce444e348f', 'text_as_html': '<p class=""NarrativeText"" id=""eba798c29a224cfba9e71c67f9b676c3"">We note that the text content and specific font used (i.e., the format encoding for individual characters) are important in the generation of ASCII Art Text. We consider the samples representing letters in VITC-S dataset, and apply the Acc metric for selection. The experimental results across different LLMs are demonstrated in Figure 5. We observe that while the ability of LLMs to identify ASCII Art text of letters varies significantly across fonts, there are certain subsets of fonts that exhibit similar performance patterns across all tested models.</p><p class=""NarrativeText"" id=""aaefeb6e5dd848bc9d6db7636296875c"">To reduce potential biases in our study, we selected fonts based on their consistent performance across LLMs. Specifically, we chose the head-set fonts from art library, which exhibited higher Acc across all models. This includes \'alphabet\', \'cards\', \'letters\', \'keyboard\', and \'puzzle\'. Additionally, we selected tail-set fonts that have low Acc across all models: \'block\',\'roman\',\'xchartri\',\'hollywood\', and \'ghoulish\'.</p><p class=""NarrativeText"" id=""ca54e7037d8a4071bf6736d3b4ec3ed8"">To reduce dependency on the art library and enhance diversity, we also generated a font using the GPT-4 model, and named it \'Gen\'. As shown in Figure 6, the \'Gen\' font can generally be well recognized by all models. Therefore, we also include it in the head-set fonts.</p>', 'languages': ['eng'], 'filetype': 'application/pdf', 'partitioner_type': 'vlm_partition', 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf,3.0,"<p class=""NarrativeText"" id=""eba798c29a224cfba9e71c67f9b676c3"">We note that the text content and specific font used (i.e., the format encoding for individual characters) are important in the generation of ASCII Art Text. We consider the samples representing letters in VITC-S dataset, and apply the Acc metric for selection. The experimental results across different LLMs are demonstrated in Figure 5. We observe that while the ability of LLMs to identify ASCII Art text of letters varies significantly across fonts, there are certain subsets of fonts that exhibit similar performance patterns across all tested models.</p><p class=""NarrativeText"" id=""aaefeb6e5dd848bc9d6db7636296875c"">To reduce potential biases in our study, we selected fonts based on their consistent performance across LLMs. Specifically, we chose the head-set fonts from art library, which exhibited higher Acc across all models. This includes 'alphabet', 'cards', 'letters', 'keyboard', and 'puzzle'. Additionally, we selected tail-set fonts that have low Acc across all models: 'block','roman','xchartri','hollywood', and 'ghoulish'.</p><p class=""NarrativeText"" id=""ca54e7037d8a4071bf6736d3b4ec3ed8"">To reduce dependency on the art library and enhance diversity, we also generated a font using the GPT-4 model, and named it 'Gen'. As shown in Figure 6, the 'Gen' font can generally be well recognized by all models. Therefore, we also include it in the head-set fonts.</p>",,application/pdf,
UncategorizedText,f1f0c9b71141413a98b4ad4d197926d3,,"{'category_depth': 3, 'page_number': 3, 'parent_id': '8d0f1383ba8845c6a9e668ce444e348f', 'text_as_html': '<section class=""Section"" id=""daf1707583d64ae6a7570908b542071a"" />', 'languages': ['eng'], 'filetype': 'application/pdf', 'partitioner_type': 'vlm_partition', 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf,3.0,"<section class=""Section"" id=""daf1707583d64ae6a7570908b542071a"" />",,application/pdf,
Title,3157463f0dc573fe65e7ee403c0e298a,B More Results,"{'category_depth': 4, 'page_number': 3, 'parent_id': 'daf1707583d64ae6a7570908b542071a', 'text_as_html': '<h1 class=""Heading"" id=""c098e761633a421b8f38f5383bf8e3b6"">B More Results</h1>', 'languages': ['eng'], 'filetype': 'application/pdf', 'partitioner_type': 'vlm_partition', 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf,3.0,"<h1 class=""Heading"" id=""c098e761633a421b8f38f5383bf8e3b6"">B More Results</h1>",,application/pdf,
NarrativeText,9c51eb8f36da5ca4a712d383fcdc740b,"In Figure 7, we present the few-shot experiments on VITC-S and compare them with zero-shot settings. We observe that both ICL and CoT provide marginal performance improvements in the recognition task across different models compared with zero-shot settings. Notably, increasing the number of examples in few-shot learning does not consistently lead to enhanced performance. Additionally, upon comparing different parameter sizes of the Llama2 model, specifically 7B, 13B, and 70B, we find that small models barely gain performance","{'category_depth': 4, 'page_number': 3, 'parent_id': 'daf1707583d64ae6a7570908b542071a', 'text_as_html': '<p class=""NarrativeText"" id=""aa987d9e9c814c57baccbf2860ef5487"">In Figure 7, we present the few-shot experiments on VITC-S and compare them with zero-shot settings. We observe that both ICL and CoT provide marginal performance improvements in the recognition task across different models compared with zero-shot settings. Notably, increasing the number of examples in few-shot learning does not consistently lead to enhanced performance. Additionally, upon comparing different parameter sizes of the Llama2 model, specifically 7B, 13B, and 70B, we find that small models barely gain performance</p>', 'languages': ['eng'], 'filetype': 'application/pdf', 'partitioner_type': 'vlm_partition', 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf,3.0,"<p class=""NarrativeText"" id=""aa987d9e9c814c57baccbf2860ef5487"">In Figure 7, we present the few-shot experiments on VITC-S and compare them with zero-shot settings. We observe that both ICL and CoT provide marginal performance improvements in the recognition task across different models compared with zero-shot settings. Notably, increasing the number of examples in few-shot learning does not consistently lead to enhanced performance. Additionally, upon comparing different parameter sizes of the Llama2 model, specifically 7B, 13B, and 70B, we find that small models barely gain performance</p>",,application/pdf,
PageNumber,2274d085b2948b584207e0bb0f98bfda,12,"{'category_depth': 2, 'page_number': 3, 'parent_id': '8c27fbabd7354e2aba80e0691ca4bb40', 'text_as_html': '<span class=""PageNumber"" id=""cdcac091f63245d393b3e6f36400e33d"">12</span>', 'languages': ['eng'], 'filetype': 'application/pdf', 'partitioner_type': 'vlm_partition', 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf,3.0,"<span class=""PageNumber"" id=""cdcac091f63245d393b3e6f36400e33d"">12</span>",,application/pdf,
UncategorizedText,6b37173e9c5180e77bfe620773f2ef81,,"{'category_depth': 0, 'page_number': 1, 'text_as_html': '<div class=""Page"" data-page-number=""1"" id=""ba8acdecc9c54b1fb1f59fcc799d6b6a"" />', 'languages': ['eng'], 'filetype': 'application/pdf', 'partitioner_type': 'vlm_partition', 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf,1.0,"<div class=""Page"" data-page-number=""1"" id=""ba8acdecc9c54b1fb1f59fcc799d6b6a"" />",,application/pdf,
Image,3d851542460c5be4ebb83a6b960252f5,"A series of bar graphs showing VrTC-S Acc measurements for different font types across multiple models (GPT-3.5, GPT-4, Claude, Gemini, and Llama2). The graphs show varying accuracy levels with some fonts achieving higher scores than others.","{'category_depth': 1, 'page_number': 1, 'parent_id': 'ba8acdecc9c54b1fb1f59fcc799d6b6a', 'text_as_html': '<figure class=""Figure"" id=""e8295a32ed8240418dbb0bd1781591b3""><img class=""Image"" alt=""A series of bar graphs showing VrTC-S Acc measurements for different font types across multiple models (GPT-3.5, GPT-4, Claude, Gemini, and Llama2). The graphs show varying accuracy levels with some fonts achieving higher scores than others."" id=""debdc28091534978ba6b6a592a7aeb25"" /></figure>', 'languages': ['eng'], 'filetype': 'application/pdf', 'partitioner_type': 'vlm_partition', 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf,1.0,"<figure class=""Figure"" id=""e8295a32ed8240418dbb0bd1781591b3""><img class=""Image"" alt=""A series of bar graphs showing VrTC-S Acc measurements for different font types across multiple models (GPT-3.5, GPT-4, Claude, Gemini, and Llama2). The graphs show varying accuracy levels with some fonts achieving higher scores than others."" id=""debdc28091534978ba6b6a592a7aeb25"" /></figure>",,application/pdf,
NarrativeText,1c21fa73b2bb5ad93372d5bffd0093e5,"improvements. This may account to LLMs' emer- gent ability, i.e., it is challenging for small models to learn from the demonstrations to perform the recognition task (Wei et al., 2022a).","{'category_depth': 1, 'page_number': 1, 'parent_id': 'ba8acdecc9c54b1fb1f59fcc799d6b6a', 'text_as_html': '<p class=""NarrativeText"" id=""c2bf0111721e4ea4b72a4ca19bae2faa"">improvements. This may account to LLMs\' emer- gent ability, i.e., it is challenging for small models to learn from the demonstrations to perform the recognition task (Wei et al., 2022a).</p>', 'languages': ['eng'], 'filetype': 'application/pdf', 'partitioner_type': 'vlm_partition', 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf,1.0,"<p class=""NarrativeText"" id=""c2bf0111721e4ea4b72a4ca19bae2faa"">improvements. This may account to LLMs' emer- gent ability, i.e., it is challenging for small models to learn from the demonstrations to perform the recognition task (Wei et al., 2022a).</p>",,application/pdf,
Title,32d0b50206d4f1f9673d51003429a1eb,C ArtPrompt Example,"{'category_depth': 1, 'page_number': 1, 'parent_id': 'ba8acdecc9c54b1fb1f59fcc799d6b6a', 'text_as_html': '<h3 class=""Heading"" id=""c3636794107543e891f106fb5ccb53e5"">C ArtPrompt Example</h3>', 'languages': ['eng'], 'filetype': 'application/pdf', 'partitioner_type': 'vlm_partition', 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf,1.0,"<h3 class=""Heading"" id=""c3636794107543e891f106fb5ccb53e5"">C ArtPrompt Example</h3>",,application/pdf,
NarrativeText,c4527b151fa4b0ef99b9783d8ca4bf55,"In this section, we demonstrate the example ArtPromptand the corresponding response from the GPT-4 model in Figure 8.","{'category_depth': 1, 'page_number': 1, 'parent_id': 'ba8acdecc9c54b1fb1f59fcc799d6b6a', 'text_as_html': '<p class=""NarrativeText"" id=""88ada7e7b1854f5cb99ca163ee4a29ef"">In this section, we demonstrate the example ArtPromptand the corresponding response from the GPT-4 model in Figure 8.</p>', 'languages': ['eng'], 'filetype': 'application/pdf', 'partitioner_type': 'vlm_partition', 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf,1.0,"<p class=""NarrativeText"" id=""88ada7e7b1854f5cb99ca163ee4a29ef"">In this section, we demonstrate the example ArtPromptand the corresponding response from the GPT-4 model in Figure 8.</p>",,application/pdf,
Image,e805c978639098ab2b366c09c48b6b4b,Figure 5: VrTC-S Acc by all fonts in evaluation. Font names are as defined by the art library.,"{'category_depth': 1, 'page_number': 1, 'parent_id': 'ba8acdecc9c54b1fb1f59fcc799d6b6a', 'text_as_html': '<figure class=""Figure"" id=""f4533adf81c94cb3a7adabd776afa78a""><figcaption class=""Caption"" id=""0a60d207d21e448a9473993556ab49ab"">Figure 5: VrTC-S Acc by all fonts in evaluation. Font names are as defined by the art library.</figcaption></figure>', 'languages': ['eng'], 'filetype': 'application/pdf', 'partitioner_type': 'vlm_partition', 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf,1.0,"<figure class=""Figure"" id=""f4533adf81c94cb3a7adabd776afa78a""><figcaption class=""Caption"" id=""0a60d207d21e448a9473993556ab49ab"">Figure 5: VrTC-S Acc by all fonts in evaluation. Font names are as defined by the art library.</figcaption></figure>",,application/pdf,
Image,7f166fa39d5de14d8b11df65b417242d,Figure 6: This figure illustrates the Acc of 'Gen' font across different models. The result indicates that the 'Gen' font is generally well recognized by all models.,"{'category_depth': 1, 'page_number': 1, 'parent_id': 'ba8acdecc9c54b1fb1f59fcc799d6b6a', 'text_as_html': '<figure class=""Figure"" id=""630327f3bc2849bfb403b5437f132007""><figcaption class=""Caption"" id=""7bcd533418264415bfab55ffcdc93bb5"">Figure 6: This figure illustrates the Acc of \'Gen\' font across different models. The result indicates that the \'Gen\' font is generally well recognized by all models.</figcaption></figure>', 'languages': ['eng'], 'filetype': 'application/pdf', 'partitioner_type': 'vlm_partition', 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf,1.0,"<figure class=""Figure"" id=""630327f3bc2849bfb403b5437f132007""><figcaption class=""Caption"" id=""7bcd533418264415bfab55ffcdc93bb5"">Figure 6: This figure illustrates the Acc of 'Gen' font across different models. The result indicates that the 'Gen' font is generally well recognized by all models.</figcaption></figure>",,application/pdf,
